ID,Industry
10,Accounting/Finance
11,Advertising/Public Relations
12,Aerospace/Aviation
13,Arts/Entertainment/Publishing
14,Automotive
15,Banking/Mortgage
16,Business Development
17,Business Opportunity
18,Clerical/Administrative
19,Construction/Facilities
20,Consumer Goods
21,Customer Service
22,Education/Training
23,Energy/Utilities
24,Engineering
25,Government/Military
26,Green
27,Healthcare
28,Hospitality/Travel
29,Human Resources
30,Installation/Maintenance
31,Insurance
32,Internet
33,Job Search Aids
34,Law Enforcement/Security
35,Legal
36,Management/Executive
37,Manufacturing/Operations
38,Marketing
39,Non-Profit/Volunteer
40,Pharmaceutical/Biotech
41,Professional Services
42,QA/Quality Control
43,Real Estate
44,Restaurant/Food Service
45,Retail
46,Sales
47,Science/Research
48,Skilled Labor
49,Technology
50,Telecommunications
51,Transportation/Logistics
52,Other
